197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
197,017,001,018,019,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
197,049,050,050,051,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
197,049,099,099,051,017,001,001,001,001,001,001,001,001,001,001,001,001,001,019,197,197,197,197,197
197,049,099,099,051,081,033,033,033,129,130,131,132,1033,134,36,033,033,033,083,197,197,197,197,197
197,049,099,099,051,081,210,065,065,161,162,163,164,1065,166,68,065,065,212,083,197,197,197,197,197
197,049,099,099,083,081,099,099,099,099,099,099,099,099,099,099,099,099,099,083,197,197,197,197,197
001,085,099,099,084,085,099,099,099,099,099,099,099,099,099,099,099,099,099,084,001,001,001,001,001
141,141,099,099,141,141,099,099,099,099,099,099,099,099,099,099,099,099,099,143,143,143,143,143,143
065,065,099,099,065,065,099,099,099,099,099,099,099,099,099,099,099,099,099,065,065,065,065,065,065
099,099,099,099,099,099,099,099,099,099,099,099,099,099,099,099,099,099,099,099,099,099,099,099,099
033,033,033,033,033,033,099,099,099,099,099,099,099,099,099,099,099,099,099,033,033,033,033,033,033
197,197,197,197,197,081,099,099,099,099,099,099,099,099,099,099,099,099,099,083,197,197,197,197,197
197,197,197,197,197,081,099,099,099,099,099,099,099,099,099,099,099,099,099,083,197,197,197,197,197
197,197,197,197,197,081,099,099,099,099,099,099,099,099,099,099,099,099,099,083,197,197,197,197,197
197,197,197,197,197,081,099,099,099,099,099,099,099,099,099,099,099,099,099,083,197,197,197,197,197
197,197,197,197,197,113,033,033,033,033,033,033,033,033,033,033,033,033,033,115,197,197,197,197,197
197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197

000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,234,234,234,234,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,234,000,000,234,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,234,000,000,234,234,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,234,000,000,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,000,000,000,000,000
000,234,000,000,234,234,000,000,000,000,000,000,000,000,000,000,000,000,000,234,000,000,000,000,000
000,234,000,000,234,234,000,000,000,000,000,000,000,000,000,000,000,000,000,234,000,000,000,000,000
000,234,000,000,234,234,000,000,000,000,000,000,000,000,000,000,000,000,000,234,000,000,000,000,000
234,234,000,000,234,234,000,000,000,000,000,000,000,000,000,000,000,000,000,234,234,234,234,234,234
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
234,234,234,234,234,234,000,000,000,000,000,000,000,000,000,000,000,000,000,234,234,234,234,234,234
000,000,000,000,000,234,000,000,000,000,000,000,000,000,000,000,000,000,000,234,000,000,000,000,000
000,000,000,000,000,234,000,000,000,000,000,000,000,000,000,000,000,000,000,234,000,000,000,000,000
000,000,000,000,000,234,000,000,000,000,000,000,000,000,000,000,000,000,000,234,000,000,000,000,000
000,000,000,000,000,234,000,000,000,000,000,000,000,000,000,000,000,000,000,234,000,000,000,000,000
000,000,000,000,000,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
